Trade Date,ISIN,YTM / Yield
January 2005,IN002004X013,5.20
January 2005,IN0020020130,6.70
January 2005,IN2220010028,7.12
January 2005,IN002004X013,5.18
January 2005,IN002004X013,5.18
January 2005,IN0020020064,6.43
January 2005,IN0020020064,6.43
January 2005,IN002004Z018,5.59
January 2005,IN0020010099,6.79
January 2005,IN0019990012,6.55
January 2005,IN1920020048,7.10
January 2005,IN0020020064,6.43
January 2005,IN0020020130,6.70
January 2005,IN0020040039,7.42
January 2005,IN0020020130,6.70
January 2005,IN002004Z018,5.60
January 2005,IN0020020064,6.43
January 2005,IN0020020163,6.83
January 2005,IN0020010107,6.92
January 2005,IN0019980047,6.35
January 2005,IN0020020064,6.42
January 2005,IN002004Z018,5.12
January 2005,IN0020020130,6.70
January 2005,IN0020020130,6.70
January 2005,IN002004Z018,5.30
January 2005,IN0020020130,6.70
January 2005,IN1020030038,7.56
January 2005,IN0020020130,6.71
January 2005,IN0020020130,6.67
January 2005,IN0020020130,6.70
January 2005,IN0020040039,7.44
January 2005,IN0020020130,6.70
January 2005,IN002004Z018,5.47
January 2005,IN0019980344,6.74
January 2005,IN0019970097,5.58
January 2005,IN002004X013,5.20
January 2005,IN0019970097,5.58
January 2005,IN0020020064,6.43
January 2005,IN002004X013,5.20
January 2005,IN0020020163,6.83
January 2005,IN0020020064,6.43
January 2005,IN0020020163,6.83
January 2005,IN002004X013,5.18
January 2005,IN0020020163,6.82
January 2005,IN3119910013,6.95
January 2005,IN0020020130,6.71
January 2005,IN0020010057,6.69
January 2005,IN0020010065,6.82
January 2005,IN0020020064,6.43
January 2005,IN002004Z018,5.57
January 2005,IN002004Z018,5.59
January 2005,IN002004Z018,5.60
January 2005,IN0020020171,7.00
January 2005,IN0020020064,6.43
January 2005,IN002004Z018,5.10
January 2005,IN0020020130,6.71
January 2005,IN0020020163,6.82
January 2005,IN3520020022,7.26
January 2005,IN002004Z018,5.57
January 2005,IN0020020163,6.83
January 2005,IN002004Z018,5.57
January 2005,IN2220030026,7.07
January 2005,IN0020010081,7.32
January 2005,IN0020020023,6.64
January 2005,IN0019990137,6.83
January 2005,IN0020000025,6.85
January 2005,IN002004X013,5.13
January 2005,IN002004X013,5.19
January 2005,IN2420020025,7.26
January 2005,IN2620020023,7.26
January 2005,IN0019840084,6.72
January 2005,IN3220020025,7.26
January 2005,IN0019970097,5.58
January 2005,IN0020040039,7.43
January 2005,IN1420020027,7.26
January 2005,IN0020020163,6.83
January 2005,IN1820020031,7.26
January 2005,IN2220020035,7.26
January 2005,IN0020000132,6.85
January 2005,IN0020020171,6.90
January 2005,IN0020010057,6.69
